Piston Cap Ball End,Activation Pin Cap,Activation Pin,Sleeve Body,Piston,Screen,Retainer,Retainer Clip,Extended Ball to Ball Distance,Compressed Ball to Ball Distance,Locked Ball to Ball Distance,Pallet Stop Shelf Gap,Retainer Clearance Distance,Extended Wedge Annulus Clearance,Ball End Type
00-050589,00-601661,00-601659,00-050017,00-049198,00-047064,00-049271,00-049278,50.885000000000005,43.265,49.29999,2.6899999999999977,2.4054999999999955,-0.17539999999999978,Female
00-050361,00-601661,00-048389,00-050017,00-049198,00-047064,00-049271,00-049278,50.885000000000005,40.495000000000005,49.29999,-0.08000000000000185,-0.36450000000000404,-0.17539999999999978,Male
00-050649,00-601661,00-601659,00-050017,00-049198,00-047064,00-049271,00-049278,50.885000000000005,43.09,49.29999,2.514999999999999,2.2304999999999984,-0.17539999999999978,Female
00-050649,00-601661,00-601659,00-050578,00-050018,00-047064,00-049271,00-049278,51.01500000000001,43.605000000000004,49.34689000000001,3.219999999999999,2.8894999999999973,0.042500000000000426,Female
00-050649,00-601661,00-601659,00-050134,00-050018,00-047064,00-049271,00-049278,51.01500000000001,43.605000000000004,49.34714,3.219999999999999,2.8894999999999973,0.04279999999999973,Female
00-050649,00-601661,00-601659,00-050610,00-050018,00-047064,00-049271,00-049278,51.01500000000001,43.605000000000004,49.346140000000005,3.219999999999999,2.3894999999999973,0.9418000000000006,Female
00-050361,00-601661,00-048389,00-050578,00-050018,00-047064,00-049271,00-049278,51.01500000000001,41.010000000000005,49.34689000000001,0.625,0.2944999999999949,0.042500000000000426,Male
00-050589,00-601661,00-601659,00-050134,00-050018,00-047064,00-049271,00-049278,51.01500000000001,43.78,49.34714,3.3949999999999996,3.0644999999999945,0.04279999999999973,Female
00-050361,00-601661,00-048389,00-050134,00-050018,00-047064,00-049271,00-049278,51.01500000000001,41.010000000000005,49.34714,0.625,0.2944999999999949,0.04279999999999973,Male
00-050589,00-601661,00-601659,00-050578,00-050018,00-047064,00-049271,00-049278,51.01500000000001,43.78,49.34689000000001,3.3949999999999996,3.0644999999999945,0.042500000000000426,Female
00-050589,00-601661,00-601659,00-050610,00-050018,00-047064,00-049271,00-049278,51.01500000000001,43.78,49.346140000000005,3.3949999999999996,2.5644999999999945,0.9418000000000006,Female
00-049133,00-601661,00-601659,00-050134,00-050018,00-047064,00-049271,00-049278,51.01500000000001,44.03,49.34714,3.6449999999999996,3.3144999999999945,0.04279999999999973,Female
00-049133,00-601661,00-601659,00-050578,00-050018,00-047064,00-049271,00-049278,51.01500000000001,44.03,49.34689000000001,3.6449999999999996,3.3144999999999945,0.042500000000000426,Female
00-049133,00-601661,00-601659,00-050610,00-050018,00-047064,00-049271,00-049278,51.01500000000001,44.03,49.346140000000005,3.6449999999999996,2.8144999999999945,0.9418000000000006,Female
00-050361,00-601661,00-048389,00-050610,00-050018,00-047064,00-049271,00-049278,51.01500000000001,41.010000000000005,49.346140000000005,0.625,-0.20550000000000512,0.9418000000000006,Male
00-048395,00-601661,00-601659,00-050578,00-050018,00-047064,00-049271,00-049278,51.01500000000001,41.02,49.34689000000001,0.634999999999998,0.30449999999999644,0.042500000000000426,Female
00-048395,00-601661,00-601659,00-050134,00-050018,00-047064,00-049271,00-049278,51.01500000000001,41.02,49.34714,0.634999999999998,0.30449999999999644,0.04279999999999973,Female
00-048395,00-601661,00-601659,00-050610,00-050018,00-047064,00-049271,00-049278,51.01500000000001,41.02,49.346140000000005,0.634999999999998,-0.19550000000000356,0.9418000000000006,Female
00-050649,00-601661,00-601659,00-050017A,00-049198,00-047064,00-049271,00-049278,51.205000000000005,43.09,50.49837,2.1949999999999985,0.7854999999999981,0.9640000000000004,Female
00-049133,00-601661,00-601659,00-050017A,00-049198,00-047064,00-049271,00-049278,51.205000000000005,43.515,50.49837,2.6199999999999974,1.2104999999999952,0.9640000000000004,Female
00-050589,00-601661,00-601659,00-050017A,00-049198,00-047064,00-049271,00-049278,51.205000000000005,43.265,50.49837,2.3699999999999974,0.9604999999999952,0.9640000000000004,Female
00-050589,00-601661,00-601659,00-050651,00-050018,00-047064,00-049271,00-049278,51.51500000000001,43.78,50.38499000000001,2.8949999999999996,1.8644999999999987,1.0806000000000004,Female
00-050649,00-601661,00-601659,00-050651,00-050018,00-047064,00-049271,00-049278,51.51500000000001,43.605000000000004,50.38499000000001,2.719999999999999,1.6895000000000016,1.0806000000000004,Female
00-049133,00-601661,00-601659,00-050651,00-050018,00-047064,00-049271,00-049278,51.51500000000001,44.03,50.38499000000001,3.1449999999999996,2.1144999999999987,1.0806000000000004,Female
00-050361,00-601661,00-048389,00-049721,00-050018A,00-047064,00-049271,00-049278,51.92,42.615,49.514990000000004,1.8000000000000007,1.7054999999999998,-0.09440000000000026,Male
00-050589,00-601661,00-601659,00-049721,00-050018A,00-047064,00-049271,00-049278,51.92,45.385,49.514990000000004,4.57,4.475500000000003,-0.09440000000000026,Female
00-049133,00-601661,00-601659,00-049721,00-050018A,00-047064,00-049271,00-049278,51.92,45.635,49.514990000000004,4.82,4.725500000000003,-0.09440000000000026,Female
00-050649,00-601661,00-601659,00-049721,00-050018A,00-047064,00-049271,00-049278,51.92,45.21,49.514990000000004,4.395,4.300499999999999,-0.09440000000000026,Female
00-048395,00-601661,00-601659,00-049721,00-050018A,00-047064,00-049271,00-049278,51.92,42.625,49.514990000000004,1.8099999999999987,1.7154999999999978,-0.09440000000000026,Female
00-050133,00-601661,00-048389,00-049721,00-050018A,00-047064,00-049271,00-049278,51.92,40.825,49.514990000000004,0.009999999999999787,-0.08449999999999935,-0.09440000000000026,Male
00-048395,00-601661,00-601659,00-050610,00-050018A,00-047064,00-049271,00-049278,52.120000000000005,42.625,49.97614000000001,1.6099999999999994,1.4154999999999935,0.466800000000001,Female
00-050589,00-601661,00-601659,00-050610,00-050018A,00-047064,00-049271,00-049278,52.120000000000005,45.385,49.97614000000001,4.370000000000001,4.175499999999999,0.466800000000001,Female
00-050361,00-601661,00-048389,00-050610,00-050018A,00-047064,00-049271,00-049278,52.120000000000005,42.615,49.97614000000001,1.6000000000000014,1.4054999999999955,0.466800000000001,Male
00-049133,00-601661,00-601659,00-050610,00-050018A,00-047064,00-049271,00-049278,52.120000000000005,45.635,49.97614000000001,4.620000000000001,4.425499999999999,0.466800000000001,Female
00-050133,00-601661,00-048389,00-050610,00-050018A,00-047064,00-049271,00-049278,52.120000000000005,40.825,49.97614000000001,-0.1899999999999995,-0.3845000000000036,0.466800000000001,Male
